,album,track_number,id,name,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
249,Year Zero,12,2GKOvFUY0I6dUpaE3xqVGX,The Greater Good,spotify:track:2GKOvFUY0I6dUpaE3xqVGX,290920,2,1,4,0.0403,0.709,0.481,0.866,0.0811,-8.255,0.0557,83.002,0.115,24
250,Year Zero,13,2xPTe1tn4BNuXtWQylAcMP,The Great Destroyer,spotify:track:2xPTe1tn4BNuXtWQylAcMP,197240,11,0,4,0.00401,0.62,0.985,0.0675,0.177,-5.171,0.21,150.001,0.387,27
251,Year Zero,14,39O2U3UW5pHr8C68k1uhwA,Another Version Of The Truth,spotify:track:39O2U3UW5pHr8C68k1uhwA,246307,7,1,4,0.98,0.189,0.0619,0.94,0.108,-27.302,0.0382,74.314,0.0816,25
252,Year Zero,15,2VJkxKMVQLcdf0ALc2XvSO,In This Twilight,spotify:track:2VJkxKMVQLcdf0ALc2XvSO,213813,2,1,4,0.0456,0.481,0.752,0.439,0.174,-6.152,0.0632,109.99,0.142,27
253,Year Zero,16,6HMj8VxSur0sy23Gh1Vgxv,Zero Sum,spotify:track:6HMj8VxSur0sy23Gh1Vgxv,374867,5,1,4,0.147,0.77,0.605,0.199,0.104,-9.125,0.17,148.057,0.382,27
254,Y34RZ3r0r3mix3d,1,4VRsk2x2xxqvQZpXjmfSL6,Gunshots by Computer - Saul Williams,spotify:track:4VRsk2x2xxqvQZpXjmfSL6,103253,11,0,4,0.0816,0.48,0.96,0.0,0.734,-5.638,0.114,171.961,0.559,24
255,Y34RZ3r0r3mix3d,2,3oFNNOpUvRkkAD7HNsllKL,The Great Destroyer - modwheelmood,spotify:track:3oFNNOpUvRkkAD7HNsllKL,259427,4,0,4,0.000198,0.485,0.781,0.488,0.125,-5.121,0.0352,150.089,0.262,29
256,Y34RZ3r0r3mix3d,3,3VBgXRy9CBIY5JZQ6QkkIt,My Violent Heart - pirate robot midget,spotify:track:3VBgXRy9CBIY5JZQ6QkkIt,154000,6,1,4,0.000434,0.557,0.858,0.064,0.0535,-5.312,0.171,108.128,0.624,24
257,Y34RZ3r0r3mix3d,4,0nmsh9e5tekEtKsDOSgVpO,The Beginning of the End - ladytron,spotify:track:0nmsh9e5tekEtKsDOSgVpO,260533,0,1,4,0.156,0.578,0.78,0.113,0.429,-2.848,0.0667,138.041,0.392,25
258,Y34RZ3r0r3mix3d,5,6tWpNTRdOeG5HC8pGQ7EBD,Survivalism - Saul Williams,spotify:track:6tWpNTRdOeG5HC8pGQ7EBD,257960,9,0,4,0.000566,0.59,0.716,0.0439,0.07,-7.134,0.0405,129.915,0.528,24
259,Y34RZ3r0r3mix3d,6,3OXrry2jCWEf82XjvzbZXg,Capital G - Paul Epworth Phones 666 Revolutions Mix,spotify:track:3OXrry2jCWEf82XjvzbZXg,444827,11,0,4,0.00083,0.802,0.766,0.000857,0.0585,-4.527,0.2,124.952,0.589,23
260,Y34RZ3r0r3mix3d,7,6ambR8HyBjoL0hwJ2OQVu7,Vessel - bill laswell,spotify:track:6ambR8HyBjoL0hwJ2OQVu7,370347,7,1,4,0.000692,0.666,0.92,0.348,0.412,-6.98,0.263,91.994,0.235,21
261,Y34RZ3r0r3mix3d,8,7C28uWYnXjs2kIeVUCVTYa,The Warning - Stefan Goodchild Feat. Doudou N'Diaye Rose,spotify:track:7C28uWYnXjs2kIeVUCVTYa,223827,10,0,4,0.0352,0.707,0.695,0.767,0.18,-9.107,0.0628,103.003,0.379,26
262,Y34RZ3r0r3mix3d,9,3PkHPwtBV0JNNEjnQJ494E,Meet Your Master - the faint,spotify:track:3PkHPwtBV0JNNEjnQJ494E,214520,1,1,4,0.0113,0.801,0.669,0.00909,0.0687,-4.915,0.0619,109.97,0.69,23
263,Y34RZ3r0r3mix3d,10,0WhDFkJqWFKT0pRDtU0rwD,God Given - Stephen Morris And Gillian Gilbert,spotify:track:0WhDFkJqWFKT0pRDtU0rwD,267773,7,1,4,0.123,0.673,0.776,0.434,0.116,-6.254,0.0506,105.996,0.293,23
264,Y34RZ3r0r3mix3d,11,5vupn3U3gC9qMJLXcojSwD,"Me, I'm Not - olof dreijer",spotify:track:5vupn3U3gC9qMJLXcojSwD,840787,7,1,4,0.00155,0.863,0.398,0.892,0.0728,-11.449,0.239,128.004,0.245,20
265,Y34RZ3r0r3mix3d,12,1JOxSIJOUXNY9UVeCS24AA,Another Version of the Truth - kronos and enrique gonzalez muller,spotify:track:1JOxSIJOUXNY9UVeCS24AA,265053,0,1,4,0.677,0.443,0.712,0.856,0.373,-9.192,0.0804,88.955,0.229,20
266,Y34RZ3r0r3mix3d,13,0LIiBBR4qfAvDAbbsXWwXn,In This Twilight - fennesz,spotify:track:0LIiBBR4qfAvDAbbsXWwXn,276093,2,1,4,0.0207,0.15,0.623,0.159,0.108,-8.986,0.0428,104.834,0.117,21
267,Y34RZ3r0r3mix3d,14,2K74lzJvBLIEMy6qcNmtVB,Zero Sum - Stephen Morris And Gillian Gilbert,spotify:track:2K74lzJvBLIEMy6qcNmtVB,338827,2,1,4,0.0557,0.647,0.672,0.56,0.0853,-9.61,0.0382,151.957,0.663,23
268,With Teeth (Bonus Tracks),1,25VUzj25PSw7rHidHGd12o,All The Love In The World,spotify:track:25VUzj25PSw7rHidHGd12o,315293,0,1,4,0.0688,0.728,0.637,0.314,0.106,-11.059,0.0461,119.987,0.623,36
269,With Teeth (Bonus Tracks),2,0U6jqwQOqeUdcXJVQyDljQ,You Know What You Are?,spotify:track:0U6jqwQOqeUdcXJVQyDljQ,221933,10,1,4,0.0156,0.5,0.975,0.0277,0.299,-5.754,0.0954,160.027,0.266,36
270,With Teeth (Bonus Tracks),3,3xra2LB64rHmLt0KuFO8X5,The Collector,spotify:track:3xra2LB64rHmLt0KuFO8X5,187493,0,1,3,0.0017,0.663,0.964,0.0637,0.137,-3.987,0.0707,138.009,0.4,33
271,With Teeth (Bonus Tracks),4,4L5r9XNiWJ7cbqcIiNvVes,The Hand That Feeds,spotify:track:4L5r9XNiWJ7cbqcIiNvVes,211680,0,1,4,0.0172,0.587,0.99,0.000668,0.104,-4.496,0.0783,127.992,0.486,55
272,With Teeth (Bonus Tracks),5,2g7fPyH1wsEVsoQPGy2hgK,Love Is Not Enough,spotify:track:2g7fPyH1wsEVsoQPGy2hgK,221333,7,1,4,0.015,0.672,0.674,0.465,0.0754,-6.096,0.0322,123.173,0.586,33
273,With Teeth (Bonus Tracks),6,11sSvwrDX5BBUhbBZRKUxy,Every Day Is Exactly The Same,spotify:track:11sSvwrDX5BBUhbBZRKUxy,294893,0,1,4,0.0217,0.607,0.941,0.071,0.119,-6.163,0.0486,144.04,0.414,49
274,With Teeth (Bonus Tracks),7,0zhPDgrdV3ye8myIztgiyJ,With Teeth,spotify:track:0zhPDgrdV3ye8myIztgiyJ,337707,0,1,4,0.192,0.602,0.66,0.391,0.203,-8.935,0.032,98.082,0.351,36
275,With Teeth (Bonus Tracks),8,72X2RPQiMoOjQrdI2B9Olu,Only,spotify:track:72X2RPQiMoOjQrdI2B9Olu,263093,9,0,4,0.000576,0.7,0.807,0.00488,0.0996,-5.711,0.029,112.15,0.963,45
276,With Teeth (Bonus Tracks),9,47lFMvErjaVjEfjX4lG6ea,Getting Smaller,spotify:track:47lFMvErjaVjEfjX4lG6ea,215507,8,0,4,7.85e-05,0.505,0.942,0.00284,0.126,-5.843,0.0397,168.237,0.624,33
277,With Teeth (Bonus Tracks),10,56kUvKRD65pvGCaCZcnaBx,Sunspots,spotify:track:56kUvKRD65pvGCaCZcnaBx,243160,11,1,4,0.00204,0.736,0.444,0.923,0.113,-6.154,0.0303,103.599,0.707,38
278,With Teeth (Bonus Tracks),11,6jUmb7A17ZGXky73XAuPe9,The Line Begins To Blur,spotify:track:6jUmb7A17ZGXky73XAuPe9,224440,7,1,4,0.0076,0.343,0.944,0.8,0.863,-5.178,0.125,174.2,0.342,32
279,With Teeth (Bonus Tracks),12,78YbeYMR0TPhABoLj2AHo2,Beside You In Time,spotify:track:78YbeYMR0TPhABoLj2AHo2,324627,2,1,4,0.355,0.476,0.543,0.89,0.192,-9.549,0.0481,119.919,0.13,31
280,With Teeth (Bonus Tracks),13,7MZBQeYiGTwXPkDigjFpKo,Right Where It Belongs,spotify:track:7MZBQeYiGTwXPkDigjFpKo,307560,5,1,4,0.979,0.458,0.362,0.494,0.118,-10.043,0.0305,139.879,0.223,41
281,With Teeth (Bonus Tracks),14,2sPEnjH75yvzBMiJ1BujE2,Home - Bonus Track,spotify:track:2sPEnjH75yvzBMiJ1BujE2,194013,7,1,4,0.282,0.669,0.892,0.206,0.113,-5.966,0.0285,105.081,0.688,29
282,With Teeth (Bonus Tracks),15,2lCNAzVSJUW3a6Xix0kLC4,Right Where It Belongs - Version 2,spotify:track:2lCNAzVSJUW3a6Xix0kLC4,303427,5,1,4,0.909,0.518,0.0683,0.000398,0.108,-19.556,0.0362,140.154,0.104,33
283,With Teeth,1,5Wz8Fl9h3NLDzbYA6jgvx1,All The Love In The World,spotify:track:5Wz8Fl9h3NLDzbYA6jgvx1,315293,0,1,4,0.0638,0.73,0.632,0.413,0.106,-11.015,0.0462,119.99,0.63,14
284,With Teeth,2,17KBYaBsRt9dr7GRwfQD1q,You Know What You Are?,spotify:track:17KBYaBsRt9dr7GRwfQD1q,221933,10,1,4,0.0161,0.506,0.976,0.0308,0.294,-5.664,0.108,160.035,0.272,13
285,With Teeth,3,3igeSU2sVvoU1rIeZE6c9f,The Collector,spotify:track:3igeSU2sVvoU1rIeZE6c9f,187493,0,1,3,0.00164,0.666,0.969,0.0687,0.137,-3.881,0.0766,138.015,0.411,13
286,With Teeth,4,6kPq6IdhMeReyfcLL5vKao,The Hand That Feeds,spotify:track:6kPq6IdhMeReyfcLL5vKao,211680,0,1,4,0.0168,0.586,0.989,0.000828,0.104,-4.407,0.0737,128.002,0.507,19
287,With Teeth,5,2yPOcEHaLvS8uIuxwUmoSv,Love Is Not Enough,spotify:track:2yPOcEHaLvS8uIuxwUmoSv,221333,7,1,4,0.0143,0.671,0.668,0.403,0.0753,-6.0,0.0321,123.169,0.548,13
288,With Teeth,6,2PYRNqi3Eu5XTABL4ELPfs,Every Day Is Exactly The Same,spotify:track:2PYRNqi3Eu5XTABL4ELPfs,294893,0,1,4,0.0219,0.607,0.938,0.0403,0.119,-6.038,0.0489,144.028,0.418,18
289,With Teeth,7,6prQOwfIX3Db4wzJYJePC8,With Teeth,spotify:track:6prQOwfIX3Db4wzJYJePC8,337707,0,1,4,0.197,0.609,0.663,0.317,0.186,-8.861,0.0326,98.087,0.341,13
290,With Teeth,8,31SkoK9hcd97ho3wB3i0aQ,Only,spotify:track:31SkoK9hcd97ho3wB3i0aQ,263093,9,0,4,0.000548,0.698,0.81,0.00434,0.0971,-5.61,0.0293,112.123,0.962,20
291,With Teeth,9,5falhBblxA0xsUQjD0z9W5,Getting Smaller,spotify:track:5falhBblxA0xsUQjD0z9W5,215507,8,0,4,6.88e-05,0.5,0.94,0.00321,0.126,-5.754,0.0394,168.234,0.61,13
292,With Teeth,10,06Woz269qjjUmanuzrhZFQ,Sunspots,spotify:track:06Woz269qjjUmanuzrhZFQ,243160,11,1,4,0.00184,0.736,0.444,0.907,0.113,-6.062,0.0302,103.602,0.724,14
293,With Teeth,11,2dYRfUfy3K9teTBZKQHgEd,The Line Begins To Blur,spotify:track:2dYRfUfy3K9teTBZKQHgEd,224440,7,1,4,0.00692,0.34,0.945,0.743,0.836,-5.077,0.131,174.197,0.299,12
294,With Teeth,12,22ed35uNTdtSMUauOV7J2h,Beside You In Time,spotify:track:22ed35uNTdtSMUauOV7J2h,324627,2,1,4,0.367,0.478,0.553,0.886,0.179,-9.457,0.0498,119.912,0.138,11
295,With Teeth,13,5E8vtHIQ9SSNL2w3ntNrTI,Right Where It Belongs,spotify:track:5E8vtHIQ9SSNL2w3ntNrTI,307560,5,1,4,0.979,0.436,0.367,0.507,0.119,-9.951,0.0303,70.015,0.199,16
296,With Teeth,14,7EYuORhYHSAdVQWMiijAza,Home,spotify:track:7EYuORhYHSAdVQWMiijAza,191307,7,1,4,0.29,0.669,0.892,0.25,0.116,-5.876,0.0277,105.079,0.671,11
297,With Teeth,1,2BUb9KdCYOtPUGSz2wsKYd,All The Love In The World,spotify:track:2BUb9KdCYOtPUGSz2wsKYd,315293,0,1,4,0.0688,0.728,0.637,0.314,0.106,-11.059,0.0461,119.987,0.623,40
298,With Teeth,2,4Hs5Fu5fHNPwHvKAiUXotu,You Know What You Are?,spotify:track:4Hs5Fu5fHNPwHvKAiUXotu,221933,10,1,4,0.0156,0.5,0.975,0.0277,0.299,-5.754,0.0954,160.027,0.266,40
299,With Teeth,3,74a9wwkQvx2jxu8JcReK08,The Collector,spotify:track:74a9wwkQvx2jxu8JcReK08,187493,0,1,3,0.0017,0.663,0.964,0.0637,0.137,-3.987,0.0707,138.009,0.4,36
300,With Teeth,4,5ugzDiilhy6ILKmKfhEzd7,The Hand That Feeds,spotify:track:5ugzDiilhy6ILKmKfhEzd7,211680,0,1,4,0.0172,0.587,0.99,0.000668,0.104,-4.496,0.0783,127.992,0.486,59
301,With Teeth,5,3IiBvIuYEEHFCDRmnoSILB,Love Is Not Enough,spotify:track:3IiBvIuYEEHFCDRmnoSILB,221333,7,1,4,0.015,0.672,0.674,0.465,0.0754,-6.096,0.0322,123.173,0.586,37
302,With Teeth,6,0ypg59NyOVCpWVzd0SUsT5,Every Day Is Exactly The Same,spotify:track:0ypg59NyOVCpWVzd0SUsT5,294893,0,1,4,0.0217,0.607,0.941,0.071,0.119,-6.163,0.0486,144.04,0.414,52
