,album,track_number,id,name,uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
58,Bird Box (Abridged) [Original Score],2,2YsL81CORA2J71h4Gh50Ow,Undercurrents,spotify:track:2YsL81CORA2J71h4Gh50Ow,243083,5,1,4,0.782,0.188,0.468,0.925,0.0823,-9.132,0.0447,114.146,0.0367,21
59,Bird Box (Abridged) [Original Score],3,4nyxx3rVHL87kjlMhh4MXw,Looking Forwards and Backwards,spotify:track:4nyxx3rVHL87kjlMhh4MXw,540269,9,0,5,0.909,0.085,0.221,0.862,0.0944,-18.165,0.0361,69.381,0.0358,18
60,Bird Box (Abridged) [Original Score],4,4RbTqxllAC6dSPd23RH7rJ,What Isn't Anymore,spotify:track:4RbTqxllAC6dSPd23RH7rJ,468827,7,1,4,0.948,0.693,0.317,0.894,0.099,-13.73,0.0374,109.99,0.0764,18
61,Bird Box (Abridged) [Original Score],5,5M7oG2AkWKwz3BqdwdWDDI,Sleep Deprivation,spotify:track:5M7oG2AkWKwz3BqdwdWDDI,300012,0,0,3,0.987,0.377,0.119,0.868,0.208,-22.713,0.0319,58.114,0.0344,17
62,Bird Box (Abridged) [Original Score],6,1FqVQA88fb3p3XKyLa5G1l,Careful What You Wish For,spotify:track:1FqVQA88fb3p3XKyLa5G1l,449833,4,1,3,0.891,0.213,0.404,0.856,0.167,-16.01,0.0404,96.45,0.0474,16
63,Bird Box (Abridged) [Original Score],7,2UVoNi5cL7bDfmJD1E6kP4,A Hidden Moment,spotify:track:2UVoNi5cL7bDfmJD1E6kP4,186227,9,0,5,0.961,0.108,0.0572,0.881,0.216,-27.865,0.0425,72.009,0.0409,18
64,Bird Box (Abridged) [Original Score],8,7noSiMinpKIFrxmQ02dVio,And It Keeps on Coming,spotify:track:7noSiMinpKIFrxmQ02dVio,434319,10,1,4,0.938,0.105,0.209,0.953,0.101,-16.639,0.0385,90.714,0.0332,16
65,Bird Box (Abridged) [Original Score],9,05pqLIcs54ckpMClwnTik2,Close Encounters,spotify:track:05pqLIcs54ckpMClwnTik2,278131,2,1,4,0.445,0.173,0.236,0.894,0.0716,-12.709,0.0401,100.927,0.0461,15
66,Bird Box (Abridged) [Original Score],10,5GAJ2CtvdTucnI1VBdA7eg,Last Thing Left,spotify:track:5GAJ2CtvdTucnI1VBdA7eg,280888,9,0,3,0.981,0.165,0.00713,0.837,0.111,-30.232,0.0457,70.6,0.116,24
67,The Vietnam War (Original Score),1,2UdGaof1MecKcrTOltLD85,Less Likely,spotify:track:2UdGaof1MecKcrTOltLD85,380668,0,0,3,0.93,0.155,0.166,0.915,0.104,-22.589,0.041,67.753,0.0389,35
68,The Vietnam War (Original Score),2,3kMj9XmsKIU9w7WP01QDJi,Four Enclosed Walls,spotify:track:3kMj9XmsKIU9w7WP01QDJi,334265,0,1,3,0.942,0.337,0.186,0.895,0.0947,-25.405,0.0412,109.833,0.0388,30
69,The Vietnam War (Original Score),3,7iOMuZVTKbkEKmkAmIMJ7q,The Forever Rain,spotify:track:7iOMuZVTKbkEKmkAmIMJ7q,301067,2,0,5,0.856,0.0865,0.182,0.758,0.105,-24.575,0.0559,66.233,0.0324,26
70,The Vietnam War (Original Score),4,0YQHDDlVofDmdrI26BB1I8,Remnants,spotify:track:0YQHDDlVofDmdrI26BB1I8,297800,7,1,3,0.917,0.205,0.107,0.862,0.0786,-21.667,0.0453,104.024,0.0323,23
71,The Vietnam War (Original Score),5,1L5EwOaOMlEUCKh2QX7wn5,Other Ways to Get to the Same Place,spotify:track:1L5EwOaOMlEUCKh2QX7wn5,486533,5,1,4,0.975,0.353,0.158,0.884,0.0744,-23.133,0.0411,126.773,0.0374,23
72,The Vietnam War (Original Score),6,3wEDgLmq2Mms5wxbkwVgbR,Torn Polaroid,spotify:track:3wEDgLmq2Mms5wxbkwVgbR,315600,0,0,4,0.986,0.228,0.052,0.856,0.102,-27.687,0.0367,69.636,0.0366,24
73,The Vietnam War (Original Score),7,2isCmQLDhD71F9J0K4TEqj,Before Dawn,spotify:track:2isCmQLDhD71F9J0K4TEqj,164559,6,1,4,0.933,0.526,0.193,0.935,0.109,-19.708,0.032,140.066,0.0391,23
74,The Vietnam War (Original Score),8,1ee0SPfS9KwYnHLZjs2Tmu,What Comes Back,spotify:track:1ee0SPfS9KwYnHLZjs2Tmu,456004,2,1,4,0.739,0.731,0.547,0.929,0.171,-11.847,0.0524,79.993,0.423,27
75,The Vietnam War (Original Score),9,6aOhBIpnFF94BWZN46N3PU,Justified Response,spotify:track:6aOhBIpnFF94BWZN46N3PU,229640,8,0,4,0.0111,0.437,0.996,0.926,0.329,-6.719,0.109,122.007,0.115,22
76,The Vietnam War (Original Score),10,2HRqgkDnCB6uJOhSPCVoKC,Counting Ticks,spotify:track:2HRqgkDnCB6uJOhSPCVoKC,328300,6,1,4,0.93,0.398,0.199,0.864,0.0968,-20.691,0.0335,132.006,0.0349,21
77,The Vietnam War (Original Score),11,0olVzUHV9BFxj1rGWylBZA,A World Away,spotify:track:0olVzUHV9BFxj1rGWylBZA,372966,7,1,4,0.912,0.179,0.0834,0.839,0.113,-22.504,0.0453,182.787,0.123,24
78,The Vietnam War (Original Score),12,4Wgl0Dq6PcsjEbqKueCwHB,The Right Things,spotify:track:4Wgl0Dq6PcsjEbqKueCwHB,532318,0,0,4,0.946,0.354,0.0319,0.856,0.108,-22.822,0.0378,64.079,0.0332,23
79,The Vietnam War (Original Score),13,5Y85GlNmRivJw3s6acCtA3,Passing the Point,spotify:track:5Y85GlNmRivJw3s6acCtA3,265166,0,1,4,0.638,0.658,0.588,0.943,0.245,-18.538,0.0382,120.012,0.41,20
80,The Vietnam War (Original Score),14,2ewqljni8eLyJGQ14StbPB,Strangers in Lockstep,spotify:track:2ewqljni8eLyJGQ14StbPB,297353,1,1,4,0.0111,0.406,0.659,0.818,0.0659,-9.486,0.0404,86.011,0.161,21
81,The Vietnam War (Original Score),15,2CvCuPxo8jTmoq6cpuYO45,Before and After Faith,spotify:track:2CvCuPxo8jTmoq6cpuYO45,384293,7,1,4,0.924,0.18,0.55,0.903,0.31,-12.4,0.0482,171.623,0.036,23
82,The Vietnam War (Original Score),16,1iBdhb8I29dZ49EazL053b,The Same Dream,spotify:track:1iBdhb8I29dZ49EazL053b,257166,2,1,3,0.92,0.25,0.122,0.876,0.153,-24.819,0.0571,135.597,0.0354,21
83,The Vietnam War (Original Score),17,56CnCQ6SGOnwLKKCPJlEnh,Haunted,spotify:track:56CnCQ6SGOnwLKKCPJlEnh,320979,2,1,4,0.825,0.253,0.208,0.918,0.0787,-23.68,0.0356,111.983,0.0356,19
84,Patriots Day (Original Motion Picture Soundtrack),1,1p8Jx8YbwSHnswsUeoxh6J,Them and Us,spotify:track:1p8Jx8YbwSHnswsUeoxh6J,258457,5,1,4,0.713,0.332,0.329,0.827,0.203,-16.033,0.0316,178.05,0.192,23
85,Patriots Day (Original Motion Picture Soundtrack),2,3d9C3hdUxI4OloLcSpOI1k,We Forget Who We Are,spotify:track:3d9C3hdUxI4OloLcSpOI1k,295635,0,1,3,0.981,0.172,0.108,0.894,0.062,-24.43,0.0401,70.687,0.0377,30
86,Patriots Day (Original Motion Picture Soundtrack),3,3KLWUQ2qhMacQWP3QVxLtA,The Place You Are Right Now,spotify:track:3KLWUQ2qhMacQWP3QVxLtA,426351,5,1,4,0.931,0.479,0.268,0.919,0.0799,-20.799,0.0332,131.97,0.0852,18
87,Patriots Day (Original Motion Picture Soundtrack),4,2L4EMhHMNd2x2EGpfPXJE5,Inquiries,spotify:track:2L4EMhHMNd2x2EGpfPXJE5,278311,2,0,4,0.994,0.18,0.097,0.941,0.0992,-24.079,0.0453,71.867,0.035,16
88,Patriots Day (Original Motion Picture Soundtrack),5,0rcPJnDhqN8flgOf0uTYUO,Trails,spotify:track:0rcPJnDhqN8flgOf0uTYUO,353719,9,1,3,0.98,0.404,0.111,0.901,0.076,-23.063,0.0363,76.041,0.0334,16
89,Patriots Day (Original Motion Picture Soundtrack),6,18SpDeOPIkMBQySsyzNQpU,Broken Glass,spotify:track:18SpDeOPIkMBQySsyzNQpU,305326,11,0,3,0.893,0.222,0.283,0.941,0.072,-20.954,0.0379,102.001,0.0363,15
90,Patriots Day (Original Motion Picture Soundtrack),7,6gwFTF3Em3t7CDpgkyQZ3J,Nobody Cares About Me,spotify:track:6gwFTF3Em3t7CDpgkyQZ3J,252943,2,1,4,0.988,0.183,0.181,0.949,0.107,-20.743,0.0509,88.058,0.033,14
91,Patriots Day (Original Motion Picture Soundtrack),8,1eoOsZ6dnCFVc0tsxQEpMZ,The Night Drive,spotify:track:1eoOsZ6dnCFVc0tsxQEpMZ,734340,9,1,3,0.9,0.378,0.326,0.91,0.263,-16.566,0.0354,120.003,0.036,16
92,Patriots Day (Original Motion Picture Soundtrack),9,5Fla8zfyNFP9P6oNepdVQI,Escape,spotify:track:5Fla8zfyNFP9P6oNepdVQI,394376,9,0,4,0.802,0.542,0.366,0.919,0.0844,-16.419,0.0448,119.989,0.108,14
93,Patriots Day (Original Motion Picture Soundtrack),10,2VKYmvbecSFR2WdcBz6kpj,Terminus,spotify:track:2VKYmvbecSFR2WdcBz6kpj,174830,7,0,5,0.303,0.187,0.222,0.871,0.0815,-13.759,0.0434,168.715,0.0377,13
